"TESTING PROCEDURE","REFERENCE NAME","EVIDENCE CATEGORY","REASONING"
"1.4.2 (Part 2 - Examine Configurations)","Requirement 1.4.2.. NSC Inbound Traffic Restriction Configuration Compliance Examination","Documentation Evidence","This part involves examining the configurations of Network Security Controls (NSCs) to verify that inbound traffic restriction from untrusted to trusted networks complies with all elements specified in this requirement, aligning with the review of documents."
"1.4.3 (Part 1 - Examine Vendor Documentation)","Requirement 1.4.3.. NSC Anti-Spoofing Measures Vendor Documentation Examination","Documentation Evidence","This involves examining vendor documentation to verify that anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network, fitting under the review of documents."
"1.4.3 (Part 2 - Examine Configurations)","Requirement 1.4.3.. NSC Anti-Spoofing Configuration Compliance Examination","Documentation Evidence","This part involves examining the configurations of Network Security Controls (NSCs) to verify that anti-spoofing measures are effectively implemented, aligning with the review of documents."
"1.4.4.a","Requirement 1.4.4..a Non-Direct Accessibility of Cardholder Data from Untrusted Networks Data-Flow and Network Diagrams Examination","Documentation Evidence","This involves examining the data-flow diagram and network diagram to verify that it is documented that system components storing cardholder data are not directly accessible from untrusted networks, fitting under the review of documents."
"1.4.4.b","Requirement 1.4.4..b NSC Configuration for Non-Direct Accessibility of Cardholder Data from Untrusted Networks Examination","Documentation Evidence","This part involves examining configurations of Network Security Controls (NSCs) to verify that controls are implemented such that system components storing cardholder data are not directly accessible from untrusted networks, aligning with the review of documents."
"1.4.5.a","Requirement 1.4.5..a NSC Configurations for Internal IP and Routing Information Disclosure Control Examination","Documentation Evidence","This involves examining configurations of Network Security Controls (NSCs) to verify that the disclosure of internal IP addresses and routing information is limited to only authorized parties, fitting under the review of documents."
"1.4.5.b (Part 1 - Interview Personnel)","Requirement 1.4.5..b Internal IP and Routing Information Disclosure Control Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that controls are implemented such that any disclosure of internal IP addresses and routing information is limited to only authorized parties, aligning with the collection of interview notes."
"1.4.5.b (Part 2 - Examine Documentation)","Requirement 1.4.5..b Documentation of Internal IP and Routing Information Disclosure Control Examination","Documentation Evidence","This part involves examining documentation to confirm that measures are in place to restrict the disclosure of internal IP addresses and routing information to authorized parties only, aligning with the review of documents."
"1.5.1.a (Part 1 - Examine Policies)","Requirement 1.5.1..a Security Controls for Dual-Connected Devices Policies Examination","Documentation Evidence","This involves examining policies related to security controls for computing devices that connect to both untrusted networks and the Cardholder Data Environment (CDE) to verify compliance with all specified elements, fitting under the review of documents."
"1.5.1.a (Part 2 - Examine Configuration Standards)","Requirement 1.5.1..a Security Controls for Dual-Connected Devices Configuration Standards Examination","Documentation Evidence","This part involves examining configuration standards for such computing devices, ensuring they align with the specified requirements, fitting under the review of documents."
"1.5.1.a (Part 3 - Interview Personnel)","Requirement 1.5.1..a Dual-Connected Devices Security Controls Implementation Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that security controls for devices connecting to both untrusted networks and the CDE are implemented as per the policies and standards, aligning with the collection of interview notes."
"1.5.1.b","Requirement 1.5.1..b Dual-Connected Devices Configuration Settings Compliance Examination","Documentation Evidence","This involves examining configuration settings on computing devices that connect to both untrusted networks and the CDE to verify settings are implemented in accordance with all specified elements, aligning with the review of documents."
"2.1.1 (Part 1 - Examine Documentation)","Requirement 2.1.1.. Security Policies and Operational Procedures for Requirement 2 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 2 are managed in accordance with all specified elements, fitting under the review of documents."
"2.1.1 (Part 2 - Interview Personnel)","Requirement 2.1.1.. Security Policies and Operational Procedures for Requirement 2 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 2 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"2.1.2.a","Requirement 2.1.2..a Roles and Responsibilities for Requirement 2 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 2 are documented and assigned, fitting under the review of documents."
"2.1.2.b","Requirement 2.1.2..b Roles and Responsibilities for Requirement 2 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel with responsibility for performing activities in Requirement 2 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"2.2.1.a","Requirement 2.2.1..a System Configuration Standards Comprehensive Process Definition Examination","Documentation Evidence","This involves examining system configuration standards to verify they define processes that include all elements specified in this requirement, fitting under the review of documents."
"2.2.1.b (Part 1 - Examine Policies and Procedures)","Requirement 2.2.1..b System Configuration Standards Vulnerability Issue Update Policies and Procedures Examination","Documentation Evidence","This part involves examining policies and procedures to verify that system configuration standards are updated as new vulnerability issues are identified, as defined in Requirement 6.3.1, aligning with the review of documents."
"2.2.1.b (Part 2 - Interview Personnel)","Requirement 2.2.1..b System Configuration Standards Update Process Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that system configuration standards are regularly updated in response to new vulnerability issues, aligning with the collection of interview notes."
"2.2.1.c (Part 1 - Examine Configuration Settings)","Requirement 2.2.1..c System Configuration Standards Application in New Systems Configuration Settings Examination","Documentation Evidence","This involves examining configuration settings to verify that system configuration standards are applied when new systems are configured and verified as being in place before or immediately after a system component is connected to a production environment, fitting under the review of documents."
"2.2.1.c (Part 2 - Interview Personnel)","Requirement 2.2.1..c New Systems Configuration Standards Application Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that system configuration standards are appropriately applied in the configuration of new systems, which aligns with the collection of interview notes."
"2.2.2.a","Requirement 2.2.2..a Vendor Default Accounts Management in System Configuration Standards Examination","Documentation Evidence","This involves examining system configuration standards to verify they include managing vendor default accounts in accordance with all specified elements, fitting under the review of documents."
"2.2.2.b (Part 1 - Examine Vendor Documentation)","Requirement 2.2.2..b Vendor Default Accounts Implementation Vendor Documentation Examination","Documentation Evidence","This part involves examining vendor documentation to verify accounts are implemented in accordance with all specified elements, aligning with the review of documents."
"2.2.2.b (Part 2 - Observe System Administrator Login)","Requirement 2.2.2..b Vendor Default Accounts Usage Observation","Observation Evidence","This requires observing a system administrator logging on using vendor default accounts to confirm their implementation is in accordance with the requirement, aligning with the observation of processes."
"2.2.2.c (Part 1 - Examine Configuration Files)","Requirement 2.2.2..c Unused Vendor Default Accounts Removal or Disabling Configuration Files Examination","Documentation Evidence","This involves examining configuration files to verify that all vendor default accounts that will not be used are removed or disabled, fitting under the review of documents."
"2.2.2.c (Part 2 - Interview Personnel)","Requirement 2.2.2..c Unused Vendor Default Accounts Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that unused vendor default accounts are appropriately managed, which aligns with the collection of interview notes."
"2.2.3.a","Requirement 2.2.3..a Management of Primary Functions with Different Security Levels in System Configuration Standards Examination","Documentation Evidence","This involves examining system configuration standards to verify they include managing primary functions requiring different security levels as specified in this requirement, fitting under the review of documents."
"2.2.3.b","Requirement 2.2.3..b Primary Functions with Different Security Levels Management in System Configurations Examination","Documentation Evidence","This part involves examining system configurations to verify that primary functions requiring different security levels are managed as specified in the requirement, aligning with the review of documents."
"2.2.3.c (Virtualization Technologies)","Requirement 2.2.3..c Virtualization Technology System Functions Security Level Management Examination","Documentation Evidence","This involves examining system configurations, particularly where virtualization technologies are used, to verify that system functions requiring different security levels are managed in one of the specified ways: ensuring non-coexistence on the same system component, isolation on the same component, or securing to the level of the function with the highest security need, fitting under the review of documents."
"2.2.4.a","Requirement 2.2.4..a System Services Protocols and Daemons Necessity Identification in Configuration Standards Examination","Documentation Evidence","This involves examining system configuration standards to verify that necessary system services, protocols, and daemons are identified and documented, fitting under the review of documents."
"2.2.4.b","Requirement 2.2.4..b System Unnecessary Functionality Removal and Required Functionality Verification Examination","Documentation Evidence","This part involves examining system configurations to verify that all unnecessary functionality is removed or disabled and only required functionality, as documented in the configuration standards, is enabled, aligning with the review of documents."
"2.2.5.a","Requirement 2.2.5..a Insecure Services Protocols Daemons Management in Configuration Standards and Personnel Interviews Examination","Documentation Evidence and Interview Evidence","This involves examining system configuration standards and interviewing personnel to verify that any insecure services, protocols, or daemons present are managed and implemented in accordance with all specified elements, fitting under the review of documents and aligning with the collection of interview notes."
"2.2.5.b","Requirement 2.2.5..b Insecure Services Protocols Daemons Risk Mitigation Configuration Settings Examination","Documentation Evidence","This part involves examining configuration settings to verify that additional security features are implemented to reduce the risk of using insecure services, daemons, and protocols, aligning with the review of documents."
"2.2.6.a","Requirement 2.2.6..a System Misuse Prevention via Security Parameter Configuration in System Configuration Standards Examination","Documentation Evidence","This involves examining system configuration standards to verify they include configuring system security parameters to prevent misuse, fitting under the review of documents."
"2.2.6.b","Requirement 2.2.6..b System Administrators and Security Managers Knowledge on Security Parameter Settings Verification Interviews","Interview Evidence","This requires interviewing system administrators and/or security managers to verify they have knowledge of common security parameter settings for system components, aligning with the collection of interview notes."
"2.2.6.c","Requirement 2.2.6..c Appropriateness of Common Security Parameters in System Configurations Examination","Documentation Evidence","This part involves examining system configurations to verify that common security parameters are set appropriately and in accordance with the system configuration standards, aligning with the review of documents."
"2.2.7.a","Requirement 2.2.7..a Non-Console Administrative Access Encryption in System Configuration Standards Examination","Documentation Evidence","This involves examining system configuration standards to verify they include encrypting all non-console administrative access using strong cryptography, fitting under the review of documents."
"2.2.7.b (Part 1 - Observe Administrator Log On)","Requirement 2.2.7..b Non-Console Administrative Access Management Observation","Observation Evidence","This requires observing an administrator log on to system components to verify that non-console administrative access is managed in accordance with this requirement, aligning with the observation of processes."
"2.2.7.b (Part 2 - Examine System Configurations)","Requirement 2.2.7..b Non-Console Administrative Access Configuration Compliance Examination","Documentation Evidence","This part involves examining system configurations to confirm that non-console administrative access is encrypted as per the system configuration standards, fitting under the review of documents."
"2.2.7.c","Requirement 2.2.7..c Insecure Remote Login Services Non-Availability for Non-Console Access in System Components and Authentication Services Settings Examination","Documentation Evidence","This involves examining settings for system components and authentication services to verify that insecure remote login services are not available for non-console administrative access, fitting under the review of documents."
"2.2.7.d (Part 1 - Examine Vendor Documentation)","Requirement 2.2.7..d Strong Cryptography Implementation According to Industry Best Practices and Vendor Recommendations Vendor Documentation Examination","Documentation Evidence","This part involves examining vendor documentation to verify that strong cryptography for the technology in use is implemented according to industry best practices and/or vendor recommendations, aligning with the review of documents."
"2.2.7.d (Part 2 - Interview Personnel)","Requirement 2.2.7..d Strong Cryptography Implementation Knowledge Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm their understanding and implementation of strong cryptography in accordance with industry best practices and vendor recommendations, aligning with the collection of interview notes."
"2.3.1.a","Requirement 2.3.1..a Wireless Vendor Defaults Management Processes Policies and Procedures Examination","Documentation Evidence and Interview Evidence","This involves examining policies and procedures and interviewing responsible personnel to verify that processes are defined for managing wireless vendor defaults either by changing them upon installation or confirming them to be secure, aligning with the review of documents and the collection of interview notes."
"2.3.1.b (Part 1 - Examine Vendor Documentation)","Requirement 2.3.1..b Wireless Device SNMP Defaults and Default Passwords Security Vendor Documentation Examination","Documentation Evidence","This part involves examining vendor documentation to verify that SNMP defaults are not used and default passwords/passphrases on wireless access points are not used, fitting under the review of documents."
"2.3.1.b (Part 2 - Observe System Administrator Login)","Requirement 2.3.1..b Wireless Device Security Settings Administrator Login Observation","Observation Evidence","This requires observing a system administrator logging into wireless devices to confirm compliance with security requirements, aligning with the observation of processes."
"2.3.1.c","Requirement 2.3.1..c Security-Related Wireless Vendor Defaults Modification in Vendor Documentation and Configuration Settings Examination","Documentation Evidence","This involves examining vendor documentation and wireless configuration settings to verify that other security-related wireless vendor defaults were changed if applicable, fitting under the review of documents."
"2.3.2 (Part 1 - Interview Responsible Personnel)","Requirement 2.3.2.. Wireless Encryption Key Management Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to verify that wireless encryption keys are changed in accordance with all elements specified in the requirement, aligning with the collection of interview notes."
"2.3.2 (Part 2 - Examine Key-Management Documentation)","Requirement 2.3.2.. Wireless Encryption Key Change Management Documentation Examination","Documentation Evidence","This part involves examining key-management documentation to confirm that wireless encryption keys are managed and changed as per the specified elements, fitting under the review of documents."
"3.1.1 (Part 1 - Examine Documentation)","Requirement 3.1.1.. Security Policies and Operational Procedures for Requirement 3 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 3 are managed in accordance with all specified elements, fitting under the review of documents."
"3.1.1 (Part 2 - Interview Personnel)","Requirement 3.1.1.. Security Policies and Operational Procedures for Requirement 3 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 3 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"3.1.2.a","Requirement 3.1.2..a Roles and Responsibilities for Requirement 3 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 3 are documented and assigned, fitting under the review of documents."
"3.1.2.b","Requirement 3.1.2..b Roles and Responsibilities for Requirement 3 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel with responsibility for performing activities in Requirement 3 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"3.2.1.a","Requirement 3.2.1..a Data Retention and Disposal Policies Procedures and Processes Examination","Documentation Evidence and Interview Evidence","This involves examining the data retention and disposal policies, procedures, and processes and interviewing personnel to verify processes are defined to include all elements specified in this requirement, fitting under the review of documents and aligning with the collection of interview notes."
"3.2.1.b","Requirement 3.2.1..b Account Data Storage and Retention Compliance in Files and System Records Examination","Documentation Evidence","This part involves examining files and system records on system components where account data is stored to verify that the data storage amount and retention time does not exceed the requirements defined in the data retention policy, aligning with the review of documents."
"3.2.1.c","Requirement 3.2.1..c Account Data Unrecoverability Mechanisms Observation","Observation Evidence","This requires observing the mechanisms used to render account data unrecoverable to verify data cannot be recovered, aligning with the observation of processes."
"3.3.1.a","Requirement 3.3.1..a SAD Post-Authorization Non-Retention Policies Procedures and System Configurations Examination","Documentation Evidence","This involves examining documented policies, procedures, and system configurations to verify that Sensitive Authentication Data (SAD) is not retained after authorization, fitting under the review of documents."
"3.3.1.b (Part 1 - Examine Documented Procedures)","Requirement 3.3.1..b SAD Secure Deletion Post-Authorization Procedures Examination","Documentation Evidence","This part involves examining the documented procedures to verify that SAD is rendered unrecoverable upon completion of the authorization process, aligning with the review of documents."
"3.3.1.b (Part 2 - Observe Secure Data Deletion Processes)","Requirement 3.3.1..b SAD Secure Deletion Post-Authorization Process Observation","Observation Evidence","This requires observing the secure data deletion processes to confirm that SAD is rendered unrecoverable after authorization, aligning with the observation of processes."
"3.3.2 (Part 1 - Examine Data Stores)","Requirement 3.3.2.. SAD Pre-Authorization Electronic Storage Encryption in Data Stores Examination","Documentation Evidence","This involves examining data stores to verify that all Sensitive Authentication Data (SAD) that is stored electronically prior to completion of authorization is encrypted using strong cryptography, aligning with the review of documents."
"3.3.2 (Part 2 - Examine System Configurations)","Requirement 3.3.2.. SAD Pre-Authorization Electronic Storage Encryption in System Configurations Examination","Documentation Evidence","This part involves examining system configurations to confirm that SAD stored electronically before authorization completion is encrypted with strong cryptography, fitting under the review of documents."
"3.3.2 (Part 3 - Examine Vendor Documentation)","Requirement 3.3.2.. SAD Pre-Authorization Electronic Storage Encryption Vendor Documentation Examination","Documentation Evidence","This requires examining vendor documentation to ensure that encryption of SAD stored electronically before authorization complies with strong cryptographic standards, aligning with the review of documents."
"3.3.3.a","Requirement 3.3.3..a Issuer Services SAD Storage Business Justification Policies and Interviews Examination","Documentation Evidence and Interview Evidence","This involves examining documented policies and interviewing personnel to verify there is a documented business justification for the storage of SAD, aligning with the review of documents and the collection of interview notes."
"3.3.3.b","Requirement 3.3.3..b Issuer Services SAD Secure Storage in Data Stores and System Configurations Examination","Documentation Evidence","This part involves examining data stores and system configurations to verify that the SAD is stored securely, fitting under the review of documents."
"3.4.1.a","Requirement 3.4.1..a PAN Display Masking Policies and Procedures Roles and Business Need Documentation Examination","Documentation Evidence","This involves examining documented policies and procedures for masking the display of Primary Account Numbers (PANs) to verify: a list of roles that need access to more than the BIN and last four digits of the PAN is documented with a legitimate business need for each role, and that PAN is masked when displayed for unauthorized roles, aligning with the review of documents."
"3.4.1.b","Requirement 3.4.1..b PAN Display Access Control in System Configurations Examination","Documentation Evidence","This part involves examining system configurations to verify that full PAN is only displayed for roles with a documented business need, and that PAN is masked for all other requests, fitting under the review of documents."
"3.4.1.c","Requirement 3.4.1..c PAN Display Masking Verification on Screens and Paper Receipts Examination","Documentation Evidence","This involves examining displays of PAN (such as on screen, on paper receipts) to verify that PANs are masked when displayed, and that only those with a legitimate business need are able to see more than the BIN and/or last four digits of the PAN, aligning with the review of documents."
"3.4.2.a","Requirement 3.4.2..a PAN Copy and Relocation Prevention Policies and Technical Controls Documentation Examination","Documentation Evidence","This involves examining documented policies and procedures and evidence for technical controls that prevent copying and/or relocation of PAN using remote-access technologies to verify that only authorized personnel are allowed such actions and that a list of such personnel is maintained with documented authorization and legitimate business need, aligning with the review of documents."
"3.4.2.b","Requirement 3.4.2..b Remote-Access Technology PAN Copy and Relocation Prevention Technical Controls Configuration Examination","Documentation Evidence","This part involves examining configurations for remote-access technologies to verify that technical controls are in place to prevent copy and/or relocation of PAN for all personnel, unless explicitly authorized, fitting under the review of documents."
"3.4.2.c (Part 1 - Observe Processes)","Requirement 3.4.2..c Authorized Personnel PAN Copy and Relocation in Remote-Access Technologies Process Observation","Observation Evidence","This requires observing processes to verify that only personnel with documented, explicit authorization and a legitimate, defined business need have permission to copy and/or relocate PAN when using remote-access technologies, aligning with the observation of processes."
"3.4.2.c (Part 2 - Interview Personnel)","Requirement 3.4.2..c Authorized Personnel for PAN Copy and Relocation in Remote-Access Technologies Verification Interviews","Interview Evidence","This involves interviewing personnel to confirm that only authorized individuals with documented permission and business need are allowed to copy and/or relocate PAN using remote-access technologies, which aligns with the collection of interview notes."
"3.5.1.a","Requirement 3.5.1..a PAN Rendering Unreadable System Documentation Examination","Documentation Evidence","This involves examining documentation about the system used to render Primary Account Numbers (PANs) unreadable, including the vendor, type of system/process, and the encryption algorithms (if applicable) to verify that the PAN is rendered unreadable using any of the methods specified in this requirement, aligning with the review of documents."
"3.5.1.b","Requirement 3.5.1..b PAN Rendering Unreadable Verification in Data Repositories and Audit Logs Examination","Documentation Evidence","This part involves examining data repositories and audit logs, including payment application logs, to verify the PAN is rendered unreadable using any of the specified methods, fitting under the review of documents."
"3.5.1.c","Requirement 3.5.1..c Correlation Prevention for Hashed and Truncated PAN Versions Controls Examination","Documentation Evidence","This involves examining implemented controls to verify that hashed and truncated versions of the same PAN present in the environment cannot be correlated to reconstruct the original PAN, aligning with the review of documents."
"3.5.1.1.a","Requirement 3.5.1.1.a Hashing Method for PAN Rendering Unreadable Documentation Examination","Documentation Evidence","This involves examining documentation about the hashing method used to render the Primary Account Number (PAN) unreadable, including details about the vendor, system/process type, and encryption algorithms, to verify that the hashing method results in keyed cryptographic hashes of the entire PAN with associated key management processes and procedures, fitting under the review of documents."
